Timestamp,Source MAC,Destination MAC,In Port
2023-03-01 22:15:11.555203,f6:ba:e0:47:ce:ad,33:33:00:00:00:02,9
2023-03-01 22:15:11.557599,2a:96:bf:90:3a:40,33:33:00:00:00:02,9
2023-03-01 22:15:11.560012,16:46:36:0c:e4:54,33:33:00:00:00:02,9
2023-03-01 22:15:11.562128,f6:ba:e0:47:ce:ad,33:33:00:00:00:02,9
2023-03-01 22:15:11.563897,f6:ba:e0:47:ce:ad,33:33:00:00:00:02,9
2023-03-01 22:15:11.566261,2a:96:bf:90:3a:40,33:33:00:00:00:02,9
2023-03-01 22:15:11.568292,16:46:36:0c:e4:54,33:33:00:00:00:02,9
2023-03-01 22:15:11.570503,f6:ba:e0:47:ce:ad,33:33:00:00:00:02,9
2023-03-01 22:15:23.227471,16:a7:5d:b4:59:13,33:33:00:00:00:fb,6
2023-03-01 22:15:23.229249,96:13:13:2d:ca:c3,33:33:00:00:00:fb,4
2023-03-01 22:15:23.230997,a2:c2:b7:62:c9:66,33:33:00:00:00:fb,1
2023-03-01 22:15:23.234494,16:a7:5d:b4:59:13,33:33:00:00:00:fb,9
2023-03-01 22:15:23.236557,96:13:13:2d:ca:c3,33:33:00:00:00:fb,9
2023-03-01 22:15:23.238772,a2:c2:b7:62:c9:66,33:33:00:00:00:fb,9
2023-03-01 22:15:23.241776,16:a7:5d:b4:59:13,33:33:00:00:00:fb,9
2023-03-01 22:15:23.243843,96:13:13:2d:ca:c3,33:33:00:00:00:fb,9
2023-03-01 22:15:23.246223,a2:c2:b7:62:c9:66,33:33:00:00:00:fb,9
2023-03-01 22:15:23.249739,16:a7:5d:b4:59:13,33:33:00:00:00:fb,9
2023-03-01 22:15:23.251556,a2:c2:b7:62:c9:66,33:33:00:00:00:fb,9
2023-03-01 22:15:23.254660,96:13:13:2d:ca:c3,33:33:00:00:00:fb,9
2023-03-01 22:15:23.257930,96:13:13:2d:ca:c3,33:33:00:00:00:fb,9
2023-03-01 22:15:23.260599,a2:c2:b7:62:c9:66,33:33:00:00:00:fb,9
2023-03-01 22:15:23.263673,16:a7:5d:b4:59:13,33:33:00:00:00:fb,9
